,Central,East,South,SouthWest,NorthWest
2030-03-17 11:00:00,5817.026099608944,3983.5741895827136,485.2654046069612,3868.384910550856,1135.9266861271703
2030-03-17 12:00:00,5799.501662035836,3998.626254422667,474.2682274861538,3797.5221559865154,1111.2740691123147
2030-03-17 13:00:00,5851.141739665431,4051.7093602080354,478.5669448119228,3810.272887998812,1079.8162235966463
2030-03-17 14:00:00,5908.199353489144,4034.5341641979626,466.0446736027789,3761.1079737502,1088.365975555059
2030-03-17 15:00:00,5903.906289895208,4032.040158034416,477.5609988911768,3714.1676762846746,1105.0002783171935
2030-03-17 16:00:00,6077.976084203068,4209.2769368211175,504.0071025642434,3858.06809345534,1138.368455262133
2030-03-17 17:00:00,6105.441101483196,4398.337206600949,537.1739929449858,3943.197594425611,1196.9403579966329
2030-03-17 18:00:00,6101.997319051176,4471.165717093513,552.7411368943878,4080.818788924421,1233.4924540705722
2030-03-17 19:00:00,6156.590566103332,4504.051563681924,569.7193457785162,4106.954254106153,1211.1443475405708
2030-03-17 20:00:00,6256.842448603773,4387.546636355544,572.7797800769885,4013.53764457232,1223.040103605778
2030-03-17 21:00:00,5891.241816033815,4141.186188411765,529.5403482893379,3936.561746730277,1173.992318769341
2030-03-17 22:00:00,5657.129629413805,3961.718807995492,476.9367967557886,3710.8908191468886,1054.3552745013376
2030-03-17 23:00:00,5207.617956572208,3649.983778229917,441.4766731532584,3569.7836156330022,909.6897558709528
2030-03-18 00:00:00,5159.569200416804,3503.761854675907,418.946391352173,3502.3716416937223,821.281778683017
2030-03-18 01:00:00,5035.727672679124,3547.3091663468176,405.59446998305685,3434.545576775269,781.8516479781063
2030-03-18 02:00:00,5094.045628351607,3509.3749477507645,404.7766581727494,3397.906385683484,744.1147972938558
2030-03-18 03:00:00,4981.868788001159,3467.4797034305525,404.68505057386346,3465.279986151173,762.4960903502988
2030-03-18 04:00:00,4945.378079131639,3654.158418124694,403.75472766600217,3431.419081295843,772.5019648643533
2030-03-18 05:00:00,5197.537503779091,3970.2183255478726,445.6329322323113,3554.3769426235667,807.3489102854589
2030-03-18 06:00:00,5297.714348110368,4097.492898914937,480.0697931845263,3793.420907175585,935.319376128024
2030-03-18 07:00:00,5480.8875515269365,4099.905546553887,479.4972927846825,3778.569589788788,1117.5215790962022
2030-03-18 08:00:00,6015.526734375418,4324.396961467361,483.5769094776336,3877.966915326642,1126.514562407733
2030-03-18 09:00:00,6125.290272478518,4186.745297137352,480.6011344292394,3838.5338467547977,1158.681695715441
2030-03-18 10:00:00,6180.091929951014,4107.136226441736,479.2722205785823,3825.370291845122,1141.0193976390185
2030-03-18 11:00:00,6030.1923172672105,4166.065305119943,472.87021957692446,3840.6014779867046,1155.8334165825056
2030-03-18 12:00:00,6129.122284456349,4030.564248742709,478.0732545650045,3804.7161645677975,1103.3507307687423
2030-03-18 13:00:00,6125.7561552577645,4071.5722653292337,479.0703160469607,3768.792596413224,1089.2080517250952
2030-03-18 14:00:00,6207.376524493712,4033.643870416804,478.1911155380888,3761.273050899779,1082.260780257576
2030-03-18 15:00:00,6120.763805157051,4142.195721567392,484.14746919442985,3832.66861467584,1067.6002018528511
2030-03-18 16:00:00,6350.057545449795,4368.06336856665,501.9136183861514,3911.5525763948913,1138.3923231283395
2030-03-18 17:00:00,6289.886226176832,4526.120450419388,537.4863673745755,4055.192038561225,1195.566235330473
2030-03-18 18:00:00,6270.2409929224295,4511.638358141672,546.3605209719877,4093.742674089553,1233.0560772569
2030-03-18 19:00:00,6367.542044425737,4587.433850867102,576.3362520527784,4131.548370690504,1262.0927864447722
